model_name;user_id;hotkey_count;technique_id;log_likelyhood;n_params;N;p1;p2;p3;p4;p5;p6;p7;p8;p9;p10
RW;14;352;2;-759.1336141983064;2;720;0.0;2.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;0;0;0;-696.3020715493675;2;720;0.0;2.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;1;339;1;-1057.6971792920576;2;720;0.0;2.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;2;479;2;-915.1235165311788;2;711;0.0;2.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;3;0;0;-690.8919651460337;2;720;0.0;2.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;4;504;1;-1247.050903408727;2;720;0.0;2.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;5;542;2;-988.3140891510517;2;720;0.0;2.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;6;0;0;-690.8919651460337;2;720;0.0;2.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;7;507;1;-1459.7393199536564;2;715;0.0;2.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;8;532;2;-975.8194656984272;2;717;0.0;2.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;9;557;0;-1407.1900529473924;2;720;0.0;2.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;10;370;1;-1099.8960092380592;2;720;0.0;2.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;11;582;2;-1031.5949403777192;2;720;0.0;2.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;12;0;0;-690.8919651460337;2;720;0.0;2.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;13;641;1;-1412.6001593507256;2;720;0.0;2.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;14;352;2;-782.7300458243793;2;720;0.0;2.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;0;0;0;-624.604772395957;2;720;0.0;3.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;1;339;1;-1058.278901687187;2;720;0.0;3.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;2;479;2;-971.8865254422906;2;711;0.0;3.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;3;0;0;-618.1126447119567;2;720;0.0;3.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;4;504;1;-1285.5033706271936;2;720;0.0;3.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;5;542;2;-1058.1169632900012;2;720;0.0;3.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;6;0;0;-618.1126447119567;2;720;0.0;3.0;0.3;-1;-1;-1;-1;-1;-1;-1
