model_name;user_id;hotkey_count;technique_id;log_likelyhood;n_params;N;p1;p2;p3;p4;p5;p6;p7;p8;p9;p10
CK;2;479;2;-2782.8210989639147;2;711;0.0;4.0;1;-1;-1;-1;-1;-1;-1;-1
CK;3;0;0;-37.37003705010297;2;720;0.0;4.0;1;-1;-1;-1;-1;-1;-1;-1
CK;4;504;1;-3003.5510411178116;2;720;0.0;4.0;1;-1;-1;-1;-1;-1;-1;-1
CK;5;542;2;-3146.615912566941;2;720;0.0;4.0;1;-1;-1;-1;-1;-1;-1;-1
CK;6;0;0;-37.37003705010297;2;720;0.0;4.0;1;-1;-1;-1;-1;-1;-1;-1
CK;7;507;1;-4163.218339846362;2;715;0.0;4.0;1;-1;-1;-1;-1;-1;-1;-1
CK;8;532;2;-3088.8295564983787;2;717;0.0;4.0;1;-1;-1;-1;-1;-1;-1;-1
CK;9;557;0;-3857.6265053240877;2;720;0.0;4.0;1;-1;-1;-1;-1;-1;-1;-1
CK;10;370;1;-2218.7249388742202;2;720;0.0;4.0;1;-1;-1;-1;-1;-1;-1;-1
CK;11;582;2;-3377.44711910918;2;720;0.0;4.0;1;-1;-1;-1;-1;-1;-1;-1
CK;12;0;0;-37.37003705010297;2;720;0.0;4.0;1;-1;-1;-1;-1;-1;-1;-1
CK;13;641;1;-3886.4804061418677;2;720;0.0;4.0;1;-1;-1;-1;-1;-1;-1;-1
CK;14;352;2;-2050.1676814912967;2;720;0.0;4.0;1;-1;-1;-1;-1;-1;-1;-1
CK;0;0;0;-55.28671992980194;2;720;0.0;4.5;1;-1;-1;-1;-1;-1;-1;-1
CK;1;339;1;-2223.6573663859294;2;720;0.0;4.5;1;-1;-1;-1;-1;-1;-1;-1
CK;2;479;2;-3121.061453124208;2;711;0.0;4.5;1;-1;-1;-1;-1;-1;-1;-1
CK;3;0;0;-22.826081509800304;2;720;0.0;4.5;1;-1;-1;-1;-1;-1;-1;-1
CK;4;504;1;-3359.779711086006;2;720;0.0;4.5;1;-1;-1;-1;-1;-1;-1;-1
CK;5;542;2;-3530.208943956595;2;720;0.0;4.5;1;-1;-1;-1;-1;-1;-1;-1
CK;6;0;0;-22.826081509800304;2;720;0.0;4.5;1;-1;-1;-1;-1;-1;-1;-1
CK;7;507;1;-4664.53886111517;2;715;0.0;4.5;1;-1;-1;-1;-1;-1;-1;-1
CK;8;532;2;-3465.2398515364735;2;717;0.0;4.5;1;-1;-1;-1;-1;-1;-1;-1
CK;9;557;0;-4320.6146083180765;2;720;0.0;4.5;1;-1;-1;-1;-1;-1;-1;-1
CK;10;370;1;-2476.850346061945;2;720;0.0;4.5;1;-1;-1;-1;-1;-1;-1;-1
CK;11;582;2;-3789.894051316616;2;720;0.0;4.5;1;-1;-1;-1;-1;-1;-1;-1
CK;12;0;0;-22.826081509800304;2;720;0.0;4.5;1;-1;-1;-1;-1;-1;-1;-1
CK;13;641;1;-4353.075246738078;2;720;0.0;4.5;1;-1;-1;-1;-1;-1;-1;-1
CK;14;352;2;-2296.7046839964964;2;720;0.0;4.5;1;-1;-1;-1;-1;-1;-1;-1
CK;0;0;0;-49.97185332480213;2;720;0.0;5.0;1;-1;-1;-1;-1;-1;-1;-1
CK;1;339;1;-2459.272571609392;2;720;0.0;5.0;1;-1;-1;-1;-1;-1;-1;-1
